Frequency [Hz],Amplitude,X [mm],Y [mm]
0.0,2.2321,-1.2768,-2.0843
0.0386,-1.583,-4.7935,-4.4933
0.0773,-1.8828,-4.8056,-5.4051
0.1159,-2.0641,-5.4626,-4.7911
0.1546,-2.1772,-5.0344,-5.0309
0.1932,-2.2909,-4.8924,-5.1822
0.2319,-2.368,-4.9457,-4.7464
0.2705,-2.421,-5.3747,-5.2545
0.3092,-2.471,-5.0391,-5.0247
0.3478,-2.5267,-5.0573,-5.223
0.3865,-2.6061,-4.4562,-4.6534
0.4251,-2.6286,-4.769,-4.7874
0.4638,-2.6541,-4.9146,-4.8552
0.5024,-2.7152,-4.8623,-4.7087
0.541,-2.7119,-5.0897,-5.169
0.5797,-2.7178,-5.0483,-4.8813
0.6183,-2.7797,-4.8679,-4.4717
0.657,-2.7898,-4.6837,-4.5801
0.6956,-2.8467,-4.9388,-4.5044
0.7343,-2.8642,-4.916,-4.8336
0.7729,-2.8616,-4.9338,-5.0932
0.8116,-2.8825,-4.4962,-5.3388
0.8502,-2.9681,-5.1198,-4.7924
0.8889,-2.9411,-4.5111,-4.9802
0.9275,-2.8938,-4.894,-4.6508
0.9662,-2.9534,-4.234,-4.4992
1.0048,-3.0016,-5.0123,-4.6082
1.0435,-3.0037,-4.672,-5.1138
1.0821,-3.0428,-4.6005,-4.5474
1.1207,-3.0588,-4.5523,-5.3803
1.1594,-3.0567,-4.3661,-4.9034
1.198,-3.081,-4.997,-5.4608
1.2367,-3.0793,-4.5561,-5.1152
1.2753,-3.0598,-4.3008,-5.1774
1.314,-3.0589,-4.7646,-4.6375
1.3526,-3.0971,-4.5779,-5.2427
1.3913,-3.1277,-4.608,-4.6966
1.4299,-3.1371,-4.4519,-4.7068
1.4686,-3.1531,-4.0697,-4.5429
1.5072,-3.1958,-4.4464,-4.3724
1.5459,-3.1701,-4.2977,-4.9971
1.5845,-3.1906,-4.4345,-4.9085
1.7004,-3.145,-4.3137,-4.5777
59.9792,-3.1878,-3.2167,-3.3271
119.9585,-2.7124,-2.3613,-2.5712
149.3684,-6.3318,-4.9333,-4.6828
157.832,-6.2359,-5.2916,-4.6856
167.4936,-6.3751,-5.708,-4.7337
186.7781,-6.2973,-5.2045,-4.7912
